"TARS_ROV_NEV	TARS_HOSZ_NEV	CIM_EGYBEN	TARS_TIPUS_MEGNEV	TARS_TIPUS_KOD	ADOSZAM	GAZD_FORM	GAZD_FORM_KOD	CEGALL	CEGALL_KOD	NEMGAZD_AG_MEGNEV	NEMGAZD_AG_KOD	NEMGAZD_AGAZAT_MEGNEV	NEMGAZD_AGAZAT_KOD	NEMGAZD_SZAKAGAZAT_MEGNEV	NEMGAZD_SZAKAGAZAT_KOD	JEGYZ_TOKE_ERT_HUF 	ORSZAG	ORSZAG_KOD	REGIO	REGIO_KOD	MEGYE	MEGYE_KOD 	TELEPULES	TELEPULES_KOD	ASZ_EVE";;
"																									";;
"AGRIA TISZK Nonprofit Kft.	AGRIA TISZK Térségi Integrált Szakképzõ Központ Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3300 Eger, Bartók B. tér 4.	Gazdasági Társaság	1	14364404-1-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2010";;
"																									";;
"AGRIA TISZK Nonprofit Kft.	AGRIA TISZK Térségi Integrált Szakképzõ Központ Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3300 Eger, Bartók B. tér 4.	Gazdasági Társaság	1	14364404-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2011";;
"																									";;
"AGRIA TISZK Nonprofit Kft.	AGRIA TISZK Térségi Integrált Szakképzõ Központ Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3300 Eger, Bartók B. tér 4.	Gazdasági Társaság	1	14364404-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2012";;
"																									";;
"Pro Caroberto Kft.	Pro Caroberto Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Katona József út 4.	Gazdasági Társaság	1	14374805-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	30490000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2010";;
"																									";;
"Pro Caroberto Kft.	Pro Caroberto Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Katona József út 4.	Gazdasági Társaság	1	14374805-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	30490000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2011";;
"																									";;
"RAKLAP MESTER Kft. f.a.	RAKLAP MESTER Korlátolt Felelõsségû Társaság felszámolás alatt	3388 Poroszló Borsodivánkai út 0436/1	Gazdasági Társaság	1	14445851-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Fafeldolgozás (kivéve: bútor), fonottáru gyártása	16	Tároló fatermék gyártása	1624	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Poroszló	2042	2014";;
"																									";;
"RAKLAP MESTER Kft. f.a.	RAKLAP MESTER Korlátolt Felelõsségû Társaság felszámolás alatt	3388 Poroszló Borsodivánkai út 0436/1	Gazdasági Társaság	1	14445851-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Fafeldolgozás (kivéve: bútor), fonottáru gyártása	16	Tároló fatermék gyártása	1624	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Poroszló	2042	2015";;
"																									";;
"Károly Róbert Nonprofit Kft.	Károly Róbert Kutató-Oktató Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165. hrsz.	Gazdasági Társaság	1	18574966-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Oktatás	P	Oktatás	85	M.n.s. egyéb oktatás	8559	68330000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2010";;
"																									";;
"Károly Róbert Nonprofit Kft.	Károly Róbert Kutató-Oktató Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165 hrsz.	Gazdasági Társaság	1	18574966-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	M.n.s. egyéb oktatás	8559	68330000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2011";;
"																									";;
"Károly Róbert Nonprofit Kft.	Károly Róbert Kutató-Oktató Közhasznú Nonprofit Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165 hrsz.	Gazdasági Társaság	1	18574966-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	M.n.s. egyéb oktatás	8559	68330000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2012";;
"																									";;
"KR Spektrum Kft.	KR Spektrum Kutató- Fejlesztõ és Szolgáltató Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Mátrai út 36.	Gazdasági Társaság	1	14466630-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai, tudományos, mûszaki tevékenység	M	Tudományos kutatás, fejlesztés	72	Egyéb természettudományi, mûszaki kutatás, fejlesztés	7219	3000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2011";;
"																									";;
"KR Spektrum Kft.	KR Spektrum Kutató- Fejlesztõ és Szolgáltató Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Mátrai út 36.	Gazdasági Társaság	1	14466630-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai, tudományos, mûszaki tevékenység	M	Tudományos kutatás, fejlesztés	72	Egyéb természettudományi, mûszaki kutatás, fejlesztés	7219	3000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2010";;
"																									";;
"KR Spektrum Kft.	KR Spektrum Kutató- Fejlesztõ és Szolgáltató Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Mátrai út 36.	Gazdasági Társaság	1	14466630-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai, tudományos, mûszaki tevékenység	M	Tudományos kutatás, fejlesztés	72	Egyéb természettudományi, mûszaki kutatás, fejlesztés	7219	3000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2012";;
"																									";;
"Hatvan-TISZK Kft.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2011";;
"																									";;
"Hatvan-TISZK Kft.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2012";;
"																									";;
"Hatvan-TISZK Kft.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2014";;
"																									";;
"Hatvan-TISZK Kft.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Vécsey u. 2.	Gazdasági Társaság	1	14483563-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2010";;
"																									";;
"Hatvan-TISZK Kft. v.a.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság végelszámolás alatt	3000 Hatvan Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2017";;
"																									";;
"Hatvan-TISZK Kft. v.a.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság végelszámolás alatt	3000 Hatvan Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2016";;
"																									";;
"Hatvan-TISZK Kft. v.a.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság végelszámolás alatt	3000 Hatvan Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2015";;
"																									";;
"Hatvan-TISZK Kft.	Hatvan-TISZK Szakképzés-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Vécsey utca 2.	Gazdasági Társaság	1	14483563-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	700000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2013";;
"																									";;
"MISA ÉP-KER Kft. f.a.	MISA ÉP-KER Korlátolt Felelõsségû Társaság felszámolás alatt	3294 Tarnaörs Erzsébet út 35.	Gazdasági Társaság	1	14492509-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Zöldség, gyümölcs kiskereskedelme	4721	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Tarnaörs	1247	2017";;
"																									";;
"MISA ÉP-KER Kft. f.a.	MISA ÉP-KER Korlátolt Felelõsségû Társaság felszámolás alatt	3294 Tarnaörs Erzsébet út 35.	Gazdasági Társaság	1	14492509-2-10	Korlátolt Felelõsségû Társaság	8	Kényszertörlés alatt	2	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Zöldség, gyümölcs kiskereskedelme	4721	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Tarnaörs	1247	2016";;
"																									";;
"Silver Plasztik Kft f.a.	Silver Plasztik Gyártó Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság felszámolás alatt	3369 Tarnabod Kossuth tér 9.	Gazdasági Társaság	1	14549326-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Gumi-, mûanyag termék gyártása	22	Egyéb mûanyag termék gyártása	2229	600000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Tarnabod	3096	2017";;
"																									";;
"Egri TISZK Kiemelkedõen Közhasznú Nonprofit Kft.	Egri TISZK Térségi Integrált Szakképzõ Központ Kiemelkedõen Közhasznú Nonprofit Korlátolt Felelõsség	3300 Eger, Kertész utca 128	Gazdasági Társaság	1	22189343-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	3100000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2013";;
"																									";;
"Egri TISZK Kiemelkedõen Közhasznú Nonprofit Kft.	Egri TISZK Térségi Integrált Szakképzõ Központ Kiemelkedõen Közhasznú Nonprofit Korlátolt Felelõsség	3300 Eger, Kertész utca 128	Gazdasági Társaság	1	22189343-2-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Szakmai középfokú oktatás	8532	3100000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2012";;
"																									";;
"Hotel Estella Kft.	Hotel Estella Korlátolt Felelõsségû Társaság	3300 Eger, Egészségház út 4.	Gazdasági Társaság	1	14638062-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szálláshely-szolgáltatás, vendéglátás	I	Szálláshely-szolgáltatás	55	Szállodai szolgáltatás	5510	2000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2011";;
"																									";;
"Hotel Estella Kft.	Hotel Estella Korlátolt Felelõsségû Társaság	3300 Eger, Egészségház út 4.	Gazdasági Társaság	1	14638062-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szálláshely-szolgáltatás, vendéglátás	I	Szálláshely-szolgáltatás	55	Szállodai szolgáltatás	5510	2000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2012";;
"																									";;
"Hotel Estella Kft.	Hotel Estella Korlátolt Felelõsségû Társaság	3300 Eger, Egészségház út 4.	Gazdasági Társaság	1	14638062-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szálláshely-szolgáltatás, vendéglátás	I	Szálláshely-szolgáltatás	55	Szállodai szolgáltatás	5510	2000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2010";;
"																									";;
"Károly Róbert Pincészet Kft.	Károly Róbert Pincészet Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Bene utca 69.	Gazdasági Társaság	1	14717871-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Italgyártás	11	Szõlõbor termelése	1102	130000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2011";;
"																									";;
"Károly Róbert Pincészet Kft.	Károly Róbert Pincészet Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Bene u. 69.	Gazdasági Társaság	1	14717871-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Italgyártás	11	Szõlõbor termelése	1102	130000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2010";;
"																									";;
"Károly Róbert Pincészet Kft.	Károly Róbert Pincészet Korlátolt Felelõsségû Társaság	3200 Gyöngyös, Bene utca 69.	Gazdasági Társaság	1	14717871-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Italgyártás	11	Szõlõbor termelése	1102	130000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2012";;
"																									";;
"Gyöngyös-TISZK Kft.	Gyöngyös-TISZK Szakképzési-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társasá	3200 Gyöngyös, Kócsag utca 36-38	Gazdasági Társaság	1	14722480-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	520000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2013";;
"																									";;
"Gyöngyös-TISZK Kft. kt.a.	Gyöngyös-TISZK Szakképzési-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság kényszertörlés alatt	3200 Gyöngyös Kócsag utca 36-38	Gazdasági Társaság	1	14722480-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	520000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2015";;
"																									";;
"Gyöngyös-TISZK Kft.	Gyöngyös-TISZK Szakképzési-szervezési Nonprofit Közhasznú Korlátolt Felelõsségû Társaság	3200 Gyöngyös Kócsag utca 36-38	Gazdasági Társaság	1	14722480-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	520000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2014";;
"																									";;
"Gyöngyös-TISZK Kft.	Gyöngyös-TISZK Szakképzési-szervezési Nonprofit Kiemelkedõen Közhasznú Korlátolt Felelõsségû Társasá	3200 Gyöngyös, Kócsag utca 36-38	Gazdasági Társaság	1	14722480-1-10	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Oktatást kiegészítõ tevékenység	8560	520000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2012";;
"																									";;
"Bugát Pál Kórház, Gyöngyös	Bugát Pál Kórház, Gyöngyös	3200 Gyöngyös, Dózsa György út 20-22.	Gazdasági Társaság	1	22214665-2-43	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Fekvõbeteg-ellátás	8610	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2012";;
"																									";;
"Markhot Ferenc Oktatókórház és Rendelõintézet	Markhot Ferenc Oktatókórház és Rendelõintézet	3300 Eger, Széchenyi út 27-29.	Gazdasági Társaság	1	14835128-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Fekvõbeteg-ellátás	8610	10000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Eger	1875	2012";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös, Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2010";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2016";;
"																									";;
"La Prima Kft f.a.	La Prima Vendéglátóipari és Kereskedelmi Korlátolt Felelõsségû Társaság felszámolás alatt	3200 Gyöngyös Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2017";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös, Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2011";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2015";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös, Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2012";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös, Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2013";;
"																									";;
"La Prima Kft.	La Prima Vendéglátóipari és Kereskedelmi Kft.	3200 Gyöngyös Farkas Tamás út 4. I/2.	Gazdasági Társaság	1	10300291-2-10	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû, motorkerékpár)	47	Könyv-kiskereskedelem	4761	4000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Gyöngyös	375	2014";;
"																									";;
"Mátra Energiaültetvény Kft.	Mátra Energiaültetvény Termelõ Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165 hrsz.	Gazdasági Társaság	1	22620400-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság, erdõgazdálkodás, halászat	A	Erdõgazdálkodás	2	Erdészeti, egyéb erdõgazdálkodási tevékenység	210	15000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2011";;
"																									";;
"Mátra Energiaültetvény Kft.	Mátra Energiaültetvény Termelõ Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165 hrsz.	Gazdasági Társaság	1	22620400-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság, erdõgazdálkodás, halászat	A	Erdõgazdálkodás	2	Erdészeti, egyéb erdõgazdálkodási tevékenység	210	15000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2012";;
"																									";;
"Mátra Energiaültetvény Kft.	Mátra Energiaültetvény Termelõ Korlátolt Felelõsségû Társaság	3213 Atkár, Tass-puszta 0165. hrsz.	Gazdasági Társaság	1	22620400-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság, erdõgazdálkodás, halászat	A	Erdõgazdálkodás	2	Erdészeti, egyéb erdõgazdálkodási tevékenység	210	15000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Atkár	1444	2010";;
"																									";;
"Mátra Egészségturisztikai Nonprofit Kft.	Mátra                                                    Egészségturisztikai  Nonprofit Korlátolt Felelõsségû Társaság	3233 Gyöngyös, 7151 hrsz	Gazdasági Társaság	1	22751807-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Általános járóbeteg-ellátás	8621	3000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2016";;
"																									";;
"Mátra Egészségturisztikai Nonprofit Kft.	Mátra Egészségturisztikai Nonprofit Kft.	3233 Gyöngyös 7151 hrsz	Gazdasági Társaság	1	22751807-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Általános járóbeteg-ellátás	8621	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2015";;
"																									";;
"Mátra Egészségturisztikai Nonprofit Kft.	Mátra Egészségturisztikai  Nonprofit Korlátolt Felelõsségû Társaság	3233 Gyöngyös 7151 hrsz	Gazdasági Társaság	1	22751807-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Általános járóbeteg-ellátás	8621	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2014";;
"																									";;
"ProMed Complex Nonprofit Közhasznú Kft.	ProMed Complex Nonprofit Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Balassi Bálint u 16.	Gazdasági Társaság	1	22751807-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Általános járóbeteg-ellátás	8621	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2012";;
"																									";;
"ProMed Complex Nonprofit Közhasznú Kft.	ProMed Complex Nonprofit Közhasznú Korlátolt Felelõsségû Társaság	3000 Hatvan, Balassi Bálint u 16.	Gazdasági Társaság	1	22751807-2-10	Nonprofit Közhasznú Korlátolt Felelõsségû Társaság	13	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Általános járóbeteg-ellátás	8621	500000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2013";;
"																									";;
"Albert Schweitzer Kórház-Rendelõintézet	Albert Schweitzer Kórház-Rendelõintézet	3000 Hatvan, Balassi Bálint út 16.	Gazdasági Társaság	1	23027381-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Humán-egészségügyi, szociális ellátás	Q	Humán-egészségügyi ellátás	86	Fekvõbeteg-ellátás	8610	10000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Hatvan	2053	2012";;
"																									";;
"LAKOLINE SYSTEMS Kft. kt.a.	LAKOLINE SYSTEMS Korlátolt Felelõsségû Társaság kényszertörlés alatt	3295 Erk Árpád út 1.	Gazdasági Társaság	1	13863319-2-10	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Adminisztratív és szolgáltatást támogató tevékenység	N	Adminisztratív-, kiegészítõ egyéb üzleti szolgáltatás	82	M.n.s. egyéb kiegészítõ üzleti szolgáltatás	8299	3000000.00	Magyarország	HU	Észak-Magyarország régió	4	Heves	10	Erk	1838	2014";;
"																									";;
